Lot;Pr_lot;Code;Name;Provider;Producer;Expire
08545069412502201608;14487004;001935     ;Цетиол (Cetiol PGL) (Cetiol 868);БАСФ(ООО);BASF;03.11.2017
08545090371908201610;02458747GO;003946     ;Лувикварт Ультракэр (Поликватерниум 44, LUVIQUAT ULTRACARE);БАСФ(ООО);BASF;01.07.2017
08545093822209201607;15792897;001533     ;Дехитон(BetadetХР-50К,Чегина К40,Альбет,Лаукозол Б45,Галакси CAPBPLUS, Кокоамидопропилбетаин);БАСФ(ООО);BASF;22.07.2017
08545094903009201601;15866748;002687     ;Плантапон (Plantapon AGS-35,  Plantapon ACG LC, Альпикеа);БАСФ(ООО);BASF;15.08.2017
08545098990311201603;14977240;002654     ;Глуадин (Gluadin WQ, Вит кват Л);БАСФ(ООО);BASF;16.02.2018
03469039021905201502;F203F1S053;001590     ;ГЭЦ (Целлосайз CP 100 MHV, Natrosol 250 HHGF, SUMITOMO SZ-25F, Tylose H200000, Cellosize);Био-Хим;DOW CORNING;27.01.2018
03469140482809201702;P8789;002654     ;Глуадин (Gluadin WQ, Вит кват Л);Био-Хим;TRI-K Industries, Inc;04.04.2018
03469144452610201703;F203H56310;001590     ;ГЭЦ (Целлосайз CP 100 MHV, Natrosol 250 HHGF, SUMITOMO SZ-25F, Tylose H200000, Cellosize);Био-Хим;DOW CORNING;07.05.2020
03469046102207201501;F203F60398;001590     ;ГЭЦ (Целлосайз CP 100 MHV, Natrosol 250 HHGF, SUMITOMO SZ-25F, Tylose H200000, Cellosize);Био-Хим;DOW CORNING;23.06.2018
03469108002401201701;F100GAJBA0;003935     ;АМП-95 (аминометилпропанол);Био-Хим;Angus Chemie GmbH;18.10.2021
03469114171503201702;F203GBT726;001590     ;ГЭЦ (Целлосайз CP 100 MHV, Natrosol 250 HHGF, SUMITOMO SZ-25F, Tylose H200000, Cellosize);Био-Хим;DOW CORNING;29.11.2019
03469120780305201701;Р8789;002654     ;Глуадин (Gluadin WQ, Вит кват Л);Био-Хим;TRI-K Industries, Inc;04.04.2018
03469129111307201702;Р8880;001567     ;Кератин (Nutrilan Keratin W, Кера-теин В, Кера теин В-ЕХ);Био-Хим;TRI-K Industries, Inc;24.04.2018
03469140472809201702;E704H2H008;004048     ;Акузол ОР-301 (замутнитель);Био-Хим;Rohm and Haas (UK) Ltd.;10.10.2019
03469164171203201801;P9182;002654     ;Глуадин (Gluadin WQ, Вит кват Л);Био-Хим;TRI-K Industries, Inc;29.05.2019
