Штрихкод;ID;Артикул;Наименование;Единица;Коэффициент;
2000002416470;005871     ;;Амидет Н;кг;1;
2000002417309;005872     ;;Масло авокадо (Париол 243 АВ/Р);кг;1;
2000002490319;005873     ;;Масло какао (Париол 455 БЦ Р);кг;1;
2000002417224;005874     ;;Лаукозол 103 (Texapon SB 3 KC);кг;1;
2000002495666;005885     ;;ПЭГ-100 стеарат (Серенина 100);кг;1;
2000002494676;005886     ;;Отдушка Moist ;кг;1;
2000002496779;005959     ;;Структура XL;кг;1;
2000002416623;005960     ;;Воск канделильский;кг;1;
2000002416630;005962     ;;Гидролит (Гидролит-5,Cosphaderm Pentiol, Микрокер Эмолиент ПТГ);кг;1;
2000002513209;005973     ;;Краситель COVASOP BLUE 6102 (UNICERT BLUE 05601G);кг;1;
2000002493594;006067     ;;"Отдушка ""VALENTINE №2""";кг;1;
2000002513216;006068     ;;Краситель ROUGE VIF W3002 (для детского двухфазного спрея);кг;1;
2000002512523;006164     ;;Экстракт череды;кг;1;
2000002512585;006165     ;;Экстракт листьев оливы;кг;1;
2000002416463;006322     ;;Амидет АПА-22;кг;1;
2000017115696;006385     ;;Моноэтаноламин;кг;1;
2000002494522;006405     ;;Отдушка Flower Asics (49321616);кг;1;
2000002417279;006493     ;;Лувимер 100 П (Luvimer 100P);кг;1;
2000002417026;006495     ;;Каприлан МСТ 6040 (Париол ТМС 810Т, МЦТ 60/40, Палместер 3595, Масестер Е6000);кг;1;
2000002487487;006525     ;;Пигмент флюоресцентный голубой PS 29;кг;1;
2000002487500;006526     ;;Пигмент флюоресцентный зеленый JST11;кг;1;
2000002487524;006527     ;;Пигмент флюоресцентный лимонный PS30;кг;1;
2000002487548;006528     ;;Пигмент флюоресцентный малиновый JST18;кг;1;
2000002487555;006529     ;;Пигмент флюоресцентный оранжевый PS33;кг;1;
2000002487579;006530     ;;Пигмент флюоресцентный УФ-голубой P09;кг;1;
2000002416524;006550     ;;Белые сферы с пероксидом;кг;1;
2000002512769;006556     ;;Триэтилцитрат (Hydagen CAT);кг;1;
2000002416937;006571     ;;Д-пантолактон;кг;1;
2000002416654;006677     ;;Глиттер полиэстровый 2610/67 ;кг;1;
2000002512448;006782     ;;Эскалол 557 (Escalol 557/R02380);кг;1;
